"","Year","Perc_stages","Scenario"
"1",2015,1.7,"DfT"
"2",2016,1.83481,"DfT"
"3",2017,1.96962,"DfT"
"4",2018,2.10443,"DfT"
"5",2019,2.23924,"DfT"
"6",2020,2.37405,"DfT"
"7",2021,2.50886,"DfT"
"8",2022,2.64367,"DfT"
"9",2023,2.77848,"DfT"
"10",2024,2.91329,"DfT"
"11",2025,3.0481,"DfT"
"12",2026,3.18291,"DfT"
"13",2027,3.31772,"DfT"
"14",2028,3.45253,"DfT"
"15",2029,3.58734,"DfT"
"16",2030,3.72215,"DfT"
"17",2031,3.85696,"DfT"
"18",2032,3.99177,"DfT"
"19",2033,4.12658,"DfT"
"20",2034,4.26139,"DfT"
"21",2035,4.3962,"DfT"
"22",2036,4.53101,"DfT"
"23",2037,4.66582,"DfT"
"24",2038,4.80063,"DfT"
"25",2039,4.93544,"DfT"
"26",2040,5.07025,"DfT"
"27",2041,5.20506,"DfT"
"28",2042,5.33987,"DfT"
"29",2043,5.47468,"DfT"
"30",2044,5.60949,"DfT"
"31",2045,5.7443,"DfT"
"32",2046,5.87911,"DfT"
"33",2047,6.01392,"DfT"
"34",2048,6.14873,"DfT"
"35",2049,6.28354,"DfT"
"36",2050,6.41835,"DfT"
"37",2015,1.7,"Slow start"
"38",2016,1.83481,"Slow start"
"39",2017,1.96962,"Slow start"
"40",2018,2.10443,"Slow start"
"41",2019,2.23924,"Slow start"
"42",2020,2.37405,"Slow start"
"43",2021,2.50886,"Slow start"
"44",2022,2.64367,"Slow start"
"45",2023,2.77848,"Slow start"
"46",2024,2.91329,"Slow start"
"47",2025,3.0481,"Slow start"
"48",2026,3.47544874262878,"Slow start"
"49",2027,3.95239492916199,"Slow start"
"50",2028,4.48177055300528,"Slow start"
"51",2029,5.06575854837531,"Slow start"
"52",2030,5.70566484884151,"Slow start"
"53",2031,6.40168538663756,"Slow start"
"54",2032,7.15268695304287,"Slow start"
"55",2033,7.95602530206946,"Slow start"
"56",2034,8.80742623919835,"Slow start"
"57",2035,9.70095443322785,"Slow start"
"58",2036,10.6290893971454,"Slow start"
"59",2037,11.5829183268738,"Slow start"
"60",2038,12.5524421547578,"Slow start"
"61",2039,13.5269762748624,"Slow start"
"62",2040,14.4956137241095,"Slow start"
"63",2041,15.4477090571828,"Slow start"
"64",2042,16.3733379050591,"Slow start"
"65",2043,17.2636910194447,"Slow start"
"66",2044,18.1113715845411,"Slow start"
"67",2045,18.9105784632545,"Slow start"
"68",2046,19.6571729145483,"Slow start"
"69",2047,20.3486394201618,"Slow start"
"70",2048,20.9839606694563,"Slow start"
"71",2049,21.5634316742223,"Slow start"
"72",2050,22.0884386727437,"Slow start"
"73",2015,1.7,"Go Dutch"
"74",2016,1.95519562281927,"Go Dutch"
"75",2017,2.24530017034513,"Go Dutch"
"76",2018,2.57402534682892,"Go Dutch"
"77",2019,2.94515195521704,"Go Dutch"
"78",2020,3.36242212221094,"Go Dutch"
"79",2021,3.82939985551988,"Go Dutch"
"80",2022,4.34929890264143,"Go Dutch"
"81",2023,4.92477985592533,"Go Dutch"
"82",2024,5.55772254646115,"Go Dutch"
"83",2025,6.24898483628437,"Go Dutch"
"84",2026,6.99816449629943,"Go Dutch"
"85",2027,7.80338612527129,"Go Dutch"
"86",2028,8.66113886683723,"Go Dutch"
"87",2029,9.5661916834514,"Go Dutch"
"88",2030,10.5116099461166,"Go Dutch"
"89",2031,11.4888894405511,"Go Dutch"
"90",2032,12.4882118699783,"Go Dutch"
"91",2033,13.4988110234718,"Go Dutch"
"92",2034,14.5094235029506,"Go Dutch"
"93",2035,15.5087853178906,"Go Dutch"
"94",2036,16.4861285353009,"Go Dutch"
"95",2037,17.4316321638117,"Go Dutch"
"96",2038,18.3367885568951,"Go Dutch"
"97",2039,19.1946591943902,"Go Dutch"
"98",2040,20.0000089746704,"Go Dutch"
"99",2041,20.7493230651964,"Go Dutch"
"100",2042,21.4407223886431,"Go Dutch"
"101",2043,22.073801491024,"Go Dutch"
"102",2044,22.6494155487665,"Go Dutch"
"103",2045,23.1694422778483,"Go Dutch"
"104",2046,23.6365407114996,"Go Dutch"
"105",2047,24.0539235469972,"Go Dutch"
"106",2048,24.4251541837964,"Go Dutch"
"107",2049,24.7539745064187,"Go Dutch"
"108",2050,25.0441653651703,"Go Dutch"
"109",2015,1.7,"Ecotechnic"
"110",2016,1.95519562281927,"Ecotechnic"
"111",2017,2.24530017034513,"Ecotechnic"
"112",2018,2.57402534682892,"Ecotechnic"
"113",2019,2.94515195521704,"Ecotechnic"
"114",2020,3.36242212221094,"Ecotechnic"
"115",2021,3.82939985551988,"Ecotechnic"
"116",2022,4.34929890264143,"Ecotechnic"
"117",2023,4.92477985592533,"Ecotechnic"
"118",2024,5.55772254646115,"Ecotechnic"
"119",2025,6.24898483628437,"Ecotechnic"
"120",2026,6.99816449629943,"Ecotechnic"
"121",2027,7.80338612527129,"Ecotechnic"
"122",2028,8.66113886683723,"Ecotechnic"
"123",2029,9.5661916834514,"Ecotechnic"
"124",2030,10.5116099461166,"Ecotechnic"
"125",2031,11.4888894405511,"Ecotechnic"
"126",2032,12.4882118699783,"Ecotechnic"
"127",2033,13.4988110234718,"Ecotechnic"
"128",2034,14.5094235029506,"Ecotechnic"
"129",2035,15.5087853178906,"Ecotechnic"
"130",2036,16.4861285353009,"Ecotechnic"
"131",2037,17.4316321638117,"Ecotechnic"
"132",2038,18.3367885568951,"Ecotechnic"
"133",2039,19.1946591943902,"Ecotechnic"
"134",2040,20.0000089746704,"Ecotechnic"
"135",2041,20.7493230651964,"Ecotechnic"
"136",2042,21.4407223886431,"Ecotechnic"
"137",2043,22.073801491024,"Ecotechnic"
"138",2044,22.6494155487665,"Ecotechnic"
"139",2045,23.1694422778483,"Ecotechnic"
"140",2046,23.6365407114996,"Ecotechnic"
"141",2047,24.0539235469972,"Ecotechnic"
"142",2048,24.4251541837964,"Ecotechnic"
"143",2049,24.7539745064187,"Ecotechnic"
"144",2050,25.0441653651703,"Ecotechnic"
